"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Klf9",1.12920232243764e-70,0.271115084631819,0.372,0.287,3.39336589915737e-66
"Plk2",1.83427201812541e-70,0.276295476715479,0.306,0.226,5.51217084166866e-66
"Nfia",1.03851901914896e-69,-0.390578960580514,0.289,0.377,3.12085350444453e-65
"Grid1",1.97192783969624e-69,-0.320627785767179,0.346,0.439,5.92584035107116e-65
"Setbp1",3.34664346840238e-69,-0.291131837446606,0.422,0.514,1.0056998286896e-64
"Cacna1c",8.84314908337479e-68,-0.378398837814689,0.485,0.558,2.65745473104496e-63
"Sorbs1",1.69034867082536e-67,-0.292753784276072,0.34,0.433,5.07966679069729e-63
"Lmo7",1.28684963704622e-66,-0.315250577867308,0.233,0.321,3.8671118442876e-62
"Tnrc6c",1.31458297347859e-66,-0.305562428226635,0.464,0.536,3.95045329360051e-62
"Zc3h15",1.32531769399586e-65,0.301749014080581,0.401,0.321,3.98271220222697e-61
"Pakap",1.64680378444389e-65,-0.35688841824238,0.252,0.34,4.94881005263233e-61
"Kcnip4",2.37861664673344e-65,-0.3138141718565,0.809,0.8,7.14798088509866e-61
"Rims1",2.74570628953086e-65,-0.282149815615783,0.609,0.665,8.2511219706692e-61
"Cdh8",3.44058611468933e-65,-0.332433690161721,0.356,0.445,1.03393053332529e-60
"Ppp2r2c",1.81955081819815e-64,0.305568160265893,0.427,0.356,5.46793216376726e-60
"Eml5",2.50584010254387e-64,-0.307306193296196,0.397,0.485,7.53030009215459e-60
"Galntl6",6.46684725567716e-64,-0.610517543673291,0.368,0.444,1.94335226880354e-59
"Nnat",7.34494181043196e-64,-0.564156621280843,0.198,0.272,2.20722846345291e-59
"Eml6",9.14391609320999e-64,-0.325139968382578,0.351,0.436,2.74783822517054e-59
"Grm7",9.33483850112286e-64,-0.304539815034508,0.67,0.707,2.80521231797243e-59
"Gm44151",1.11710238851928e-63,-0.401535006634827,0.198,0.276,3.35700438773927e-59
"Sdha",1.83769839122158e-63,0.272679296496852,0.311,0.235,5.52246743545997e-59
"Ahcyl2",6.37621580936219e-63,-0.447752744462918,0.401,0.473,1.91611661287143e-58
"Atp6v1h",1.707597649466e-61,0.251612614319506,0.462,0.39,5.13150169641027e-57
"Gpr22",4.54795408889049e-61,0.281673204238495,0.292,0.219,1.36670568325248e-56
"Xkr4",7.69725307584754e-61,-0.253453844971395,0.537,0.617,2.31310152182294e-56
"Plekha5",9.5691480274873e-61,-0.300147339000855,0.394,0.482,2.87562467374021e-56
"Slc4a7",1.15002232209934e-60,-0.253196664268289,0.173,0.255,3.45593208014072e-56
"Actr1b",1.35505507812754e-60,0.252752764850233,0.321,0.246,4.07207601528107e-56
"Sipa1l3",3.69680082984528e-60,-0.297021033679091,0.185,0.263,1.11092561737681e-55
"Zfp608",4.88251482814697e-60,-0.317860390894985,0.197,0.278,1.46724453100645e-55
"Cntn1",5.64304939839831e-60,-0.261669171037324,0.596,0.654,1.69579277471268e-55
"Cwc22",1.96469229722903e-59,-0.512282723337781,0.256,0.327,5.90409682240297e-55
"Arhgap39",2.95459257355827e-59,-0.309303769648354,0.283,0.363,8.87884614279997e-55
"Cadm1",3.72002084710995e-59,-0.290946171548728,0.559,0.62,1.11790346476501e-54
"Cbx6",6.55411076746461e-59,0.255480064792657,0.292,0.218,1.96957582673079e-54
"Ube3a",1.22437549058951e-58,-0.349672528135317,0.675,0.685,3.67937078677055e-54
"Camkv",2.34355340981244e-58,-0.330944384357879,0.235,0.322,7.04261235182736e-54
"Rora",3.56185761544588e-58,-0.30776018675164,0.461,0.546,1.07037383201764e-53
"Kif5a",1.08340856743145e-57,0.345463606928965,0.35,0.283,3.25575108598824e-53
"Kcnt2",2.04530326119169e-57,-0.303499670733961,0.314,0.402,6.14634083020714e-53
"Kirrel3",4.7041745745532e-57,-0.485261828307253,0.407,0.473,1.41365150139898e-52
"Frmd5",1.36322480241591e-56,-0.34682705348161,0.381,0.466,4.09662685374006e-52
"Tmcc1",1.40593916856116e-56,-0.277460975682712,0.437,0.518,4.22498779544314e-52
"Oxr1",1.52567424868197e-56,-0.277017366495395,0.623,0.671,4.58480368471418e-52
"Rfx3",1.56006551163116e-56,-0.445805312409065,0.414,0.486,4.6881528690028e-52
"Lhfp",2.39986175086175e-56,0.257972493126513,0.334,0.259,7.21182454751465e-52
