"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Calm1",3.54565126841747e-179,0.540783756169001,0.616,0.498,1.06550366267214e-174
"Sult4a1",2.31418734600001e-178,0.449478359750573,0.328,0.197,6.95436439346464e-174
"Lsamp",4.59671640743432e-177,-0.521400239548416,0.81,0.84,1.38135924759809e-172
"Klc1",7.99028190560731e-177,0.483566633459535,0.567,0.443,2.40115961545405e-172
"Grm5",9.43991107053261e-176,-0.466421371135245,0.689,0.754,2.83678767580576e-171
"Slc6a17",1.40607477409704e-175,0.40825581111368,0.553,0.422,4.225395303639e-171
"Chchd2",4.59175881266376e-175,0.412904083444457,0.52,0.363,1.37986944079359e-170
"Cox7a2",1.7254323155054e-173,0.417450938872181,0.456,0.303,5.18509665132528e-169
"Tpi1",1.16892490855465e-171,0.39764344183823,0.417,0.269,3.51273624269757e-167
"Luzp2",6.5707225928299e-171,0.408816585475313,0.448,0.303,1.97456784637131e-166
"Uqcr11",3.69288369703672e-170,0.397453937042668,0.423,0.275,1.1097484797965e-165
"Gad2",3.70087462478211e-170,0.423949338138224,0.298,0.175,1.11214983349327e-165
"Elob",7.80556725153894e-169,0.3984685098575,0.404,0.257,2.34565101475997e-164
"Atp5mpl",1.11023573443265e-168,0.386809982381229,0.355,0.217,3.33636940554356e-164
"Rpl41",2.24222601633831e-167,0.406889093958149,0.504,0.351,6.73811340169825e-163
"Herc3",3.93779649672725e-167,0.421037301841777,0.554,0.43,1.18334722523151e-162
"Atp5g1",3.89557912389132e-166,0.349597599355817,0.396,0.249,1.17066048252058e-161
"Atp5e",6.61555244804816e-166,0.403304029867485,0.407,0.263,1.98803966616295e-161
"Scd2",1.23408306275681e-165,0.432934309605799,0.488,0.351,3.70854301189049e-161
"Atp5b",6.75817607394759e-165,0.41023527824715,0.511,0.36,2.03089949198199e-160
"5730522E02Rik",1.08380714894033e-164,-0.597932390737988,0.327,0.465,3.25694886328059e-160
"Skp1a",2.76382699969006e-162,0.385333855016642,0.324,0.195,8.30557651676858e-158
"Cnr1",1.53642937658861e-161,0.302300166027173,0.415,0.277,4.61712391958642e-157
"Uty",2.21355746413708e-161,-0.39994174585077,0.128,0.272,6.65196153547835e-157
"Map1b",3.18473060868514e-161,0.400794752303176,0.829,0.755,9.57043395215973e-157
"Vsnl1",4.47837677192673e-161,0.308068723514509,0.722,0.583,1.3457970037317e-156
"Atp6v0c",2.8269765649484e-160,0.410443771029729,0.707,0.608,8.49534727532644e-156
"Ccdc85b",3.47007857783152e-160,0.355936177743777,0.262,0.147,1.04279331342415e-155
"Ppia",2.86526582321112e-159,0.450828434360115,0.569,0.426,8.61041032533174e-155
"Dynll2",4.10053185926343e-158,0.368968350332703,0.413,0.27,1.23225082902725e-153
"Mt3",1.61433585602608e-157,0.39030822060704,0.495,0.346,4.85124068094396e-153
"Gabarapl1",2.2333943920065e-157,0.384201301476683,0.439,0.296,6.71157348741873e-153
"Vdac1",9.29950059738507e-157,0.412416649630951,0.429,0.292,2.79459292452019e-152
"Lmo4",1.08167237387951e-156,0.380321472226596,0.556,0.42,3.25053365074532e-152
"Rpl38",3.19900662439117e-156,0.407157225359342,0.507,0.361,9.6133348069579e-152
"Pak1",7.20690872076657e-156,0.369776659984314,0.533,0.4,2.16574813967756e-151
"Rps28",1.40146815690718e-154,0.395612162234097,0.403,0.266,4.21155195832177e-150
"Ubc",2.7075079314119e-154,0.338754686290962,0.401,0.258,8.1363320846859e-150
"Cttnbp2",1.11667607796898e-153,-0.492983034507899,0.542,0.638,3.35572328190457e-149
"Ctnnb1",1.3382326253971e-153,0.421824175094416,0.319,0.2,4.02152286258083e-149
"Mllt11",2.01906188027263e-153,0.437694352750463,0.378,0.253,6.06748285640728e-149
"Hs3st2",2.35748496179346e-153,0.419262221647339,0.304,0.188,7.08447805868554e-149
"Chgb",3.21408713948792e-153,0.353827387587664,0.654,0.528,9.65865326287515e-149
"Fnbp1l",1.85844013154121e-152,0.363317108020214,0.512,0.371,5.58479843929448e-148
"Atp6v1a",3.01851201452716e-152,0.417834874708821,0.503,0.373,9.07093045485557e-148
"Napb",4.96357694338082e-152,0.390035804218045,0.494,0.36,1.49160450725537e-147
"Sh3bgrl3",7.34518461398431e-152,0.371790474816453,0.288,0.17,2.20730142834842e-147
"Dlgap1",3.72992288140671e-151,-0.506512312407361,0.783,0.795,1.12087912509153e-146
"Prkar1a",4.18458994709798e-151,0.39499264745553,0.437,0.302,1.25751112500242e-146
"Cpe",4.26237498910958e-151,0.382021341802372,0.727,0.616,1.28088630797732e-146
"Slc25a4",4.0242405664884e-150,0.366004114430296,0.518,0.367,1.20932453263543e-145
"Cox4i1",4.48128427752202e-150,0.395380297859214,0.537,0.395,1.34667073823814e-145
"Rangap1",6.84631559940487e-150,0.406376469032153,0.308,0.192,2.05738630077716e-145
"Mt1",9.0158465650262e-150,0.396070124141336,0.367,0.237,2.70935205125602e-145
"Cox5a",1.04269587054683e-149,0.359290923009644,0.418,0.276,3.13340536058027e-145
"Rps29",3.0689536797107e-149,0.438407343536622,0.534,0.396,9.22251270289862e-145
"Bdnf",8.07449108001651e-149,0.416628757430788,0.378,0.255,2.42646531445576e-144
"Gng3",2.11880346639986e-148,0.361790504981525,0.352,0.223,6.36721629687822e-144
"Syn2",1.08858966273592e-147,0.343088783613046,0.803,0.708,3.27132079548773e-143
"Necab1",1.15106979738728e-147,0.359818205053026,0.447,0.313,3.45907984812852e-143
"Hsph1",8.57427894231418e-147,0.424950183881138,0.404,0.277,2.57665656495483e-142
"Trpm3",7.04546483358231e-146,-1.15121242622999,0.316,0.429,2.11723263713982e-141
"Slc25a5",1.0856728941395e-145,0.350403201271783,0.326,0.2,3.2625556141786e-141
"Ptn",1.15165022026503e-145,0.296164166335518,0.573,0.426,3.46082407691845e-141
"Nrsn1",1.99392974449348e-145,0.404906066812035,0.289,0.178,5.99195827517736e-141
"Atp5k",7.68445016521239e-145,0.355931347077991,0.425,0.284,2.30925411914798e-140
"Cst3",1.05725740145927e-144,0.381887283600565,0.558,0.422,3.17716421712524e-140
"Cops9",1.31444373169793e-144,0.324561021672832,0.255,0.145,3.95003485812546e-140
"Rbfox1",3.24460176230349e-143,-0.429382315827027,0.729,0.794,9.75035275589823e-139
"Cox8a",9.73765158087771e-143,0.342004151533206,0.522,0.376,2.92626167656956e-138
"Gapdh",2.50074149228225e-142,0.344578545779089,0.469,0.319,7.51497825845739e-138
"Nkain2",3.45483262516791e-142,-0.493584847365689,0.681,0.752,1.03821175218921e-137
"Ap2m1",3.69303490942994e-142,0.331895509433675,0.323,0.2,1.10979392063279e-137
"Pik3r1",4.61747139484899e-142,0.368887764944509,0.419,0.295,1.38759632886607e-137
"Rpl19",9.2083140138249e-142,0.350100545567721,0.478,0.334,2.76719044429452e-137
"Hk1",1.68352388446714e-141,0.414358136738652,0.372,0.258,5.05915762521221e-137
"Actb",1.9765360158062e-141,0.389641833889232,0.585,0.447,5.93968838109921e-137
"Nr3c2",1.603285116268e-140,-0.658585675484884,0.321,0.437,4.81803210289696e-136
"Calm3",4.40258071553016e-140,0.349685257778702,0.517,0.374,1.32301953082397e-135
"Rplp1",1.38698285076894e-139,0.418810256760007,0.514,0.379,4.16802216484574e-135
"Rps20",6.3462647241289e-139,0.316746060937517,0.347,0.22,1.90711601224797e-134
"Tpt1",6.4248007236352e-139,0.339370652044758,0.503,0.36,1.93071686545961e-134
"Hsp90aa1",8.400340597578e-139,0.428793848133112,0.584,0.453,2.52438635297816e-134
"Ank3",1.26592368541335e-138,-0.375766954406362,0.74,0.775,3.80422726703566e-134
"Kcna6",2.4809598968318e-138,0.316705512204488,0.301,0.19,7.45553258596924e-134
"Zfp365",2.25778400836009e-137,0.395099076521519,0.278,0.172,6.7848667235229e-133
"Atp5d",9.92134428348182e-137,0.323458602898507,0.343,0.217,2.98146317062912e-132
"Mdh2",1.15209688305069e-136,0.322348008381125,0.354,0.227,3.46216634325564e-132
"Ids",1.66529440995143e-136,0.356287149812372,0.268,0.162,5.00437623134505e-132
"Tafa1",2.77615822700981e-136,-0.767140918104501,0.31,0.429,8.34263308798717e-132
"Tmsb4x",2.93131088982294e-136,0.360886126578318,0.599,0.462,8.80888235500691e-132
"Tenm2",5.81347934783764e-136,-0.5401835358567,0.727,0.777,1.74700867881869e-131
"Cox7c",6.61678429463034e-136,0.336216240982816,0.491,0.35,1.98840984837936e-131
"Ywhab",8.91113256714986e-136,0.361301933622217,0.48,0.344,2.6778844477542e-131
"Cox6b1",7.81237467231025e-135,0.325628249360099,0.418,0.281,2.34769671277595e-130
"Hspa8",1.23818677967393e-134,0.361324482043346,0.57,0.43,3.72087509159814e-130
"Atp5a1",2.80535036040094e-134,0.350906146296415,0.459,0.324,8.43035836804088e-130
"Slc1a2",1.05602938690041e-132,0.468597286476485,0.629,0.526,3.17347391057443e-128
"Nars",1.27566520065779e-132,0.419261433379274,0.305,0.197,3.83350149449673e-128
"Atp5md",5.65312446282555e-132,0.298579715976903,0.44,0.3,1.69882043232371e-127
"Ntng1",1.11299927963297e-131,-0.774393601949555,0.2,0.316,3.34467413522502e-127
"Hsp90ab1",1.48352814111671e-131,0.392259092721423,0.594,0.464,4.45815041686984e-127
"Eif3c",4.73899007294338e-131,0.375602104824377,0.344,0.227,1.42411390682022e-126
"Ccser1",1.01557939038842e-130,-0.439402206840192,0.536,0.636,3.05191762605623e-126
"Cend1",1.2975378881791e-130,0.293082801636424,0.27,0.161,3.899231107767e-126
"Fth1",1.83893996976771e-130,0.359116214835865,0.576,0.438,5.52619850314893e-126
"Atp5j",2.58114458504453e-130,0.309479273940267,0.38,0.249,7.75659759251733e-126
"Tuba1a",7.11826652456038e-130,0.297840416316463,0.499,0.354,2.13911027329564e-125
"Rpl13a",3.35107130880224e-129,0.34111185999784,0.389,0.262,1.00703043900816e-124
"Cacnb2",4.39875796046184e-129,-0.596629309540995,0.399,0.506,1.32187075469839e-124
"Atp5j2",1.14344415356898e-128,0.315967033742071,0.417,0.285,3.43616402589014e-124
"Ndufa2",1.56152506395537e-127,0.286340805352212,0.322,0.202,4.69253896969229e-123
"Nptx1",5.37152127348948e-126,0.359372100108333,0.45,0.332,1.61419585789632e-121
"Eno2",1.26196024120986e-125,0.385894395275839,0.472,0.353,3.79231672085976e-121
"Cux2",1.55832572746841e-125,0.317050785676088,0.291,0.184,4.68292464361533e-121
"Hint1",2.93809971694136e-125,0.312054204474069,0.388,0.26,8.82928345938047e-121
"Cltc",8.83899322384051e-125,0.358427177753352,0.51,0.391,2.65620585369631e-120
"Glul",1.14417110344425e-124,0.301703450321482,0.274,0.167,3.43834858296032e-120
"Kcnd2",1.21156073456714e-124,-0.469625648298829,0.684,0.748,3.64086116344771e-120
"Hsbp1",1.22978089357155e-124,0.299085803704694,0.275,0.167,3.69561456327188e-120
"Map1a",1.40772726318872e-124,0.353128859516933,0.347,0.23,4.23036119860843e-120
"Ghitm",1.82955284079384e-124,0.321245072312368,0.333,0.215,5.49798924186957e-120
"Cox5b",2.0613184092378e-124,0.299800701237265,0.319,0.201,6.19446795160051e-120
"Clu",2.5067752041322e-124,0.341763770434588,0.361,0.241,7.53311016593767e-120
"Grcc10",2.87470518979663e-124,0.311358701894113,0.282,0.173,8.63877656585786e-120
"Fau",3.10971695853015e-124,0.291284826445695,0.45,0.312,9.34501043207896e-120
"Tuba1b",4.07633862948145e-124,0.291474913434604,0.381,0.253,1.22498052154547e-119
"Rpl31",7.52900976470468e-124,0.291209793341613,0.313,0.196,2.2625427243914e-119
"Uqcrh",1.67600845980984e-123,0.290068290273447,0.396,0.267,5.03657302257456e-119
"Cadm2",1.88864512504452e-123,-0.377224740134557,0.854,0.864,5.6755674652713e-119
"Epha6",4.88856117828146e-123,-0.532010768503286,0.469,0.565,1.46906151968536e-118
"Rpl10a",6.986830332519e-122,0.300655847660171,0.291,0.18,2.09961238322529e-117
"Tubb3",9.24438246871441e-122,0.37843017350465,0.344,0.233,2.77802937567337e-117
"Slit1",1.26330147519375e-121,-0.454345507597473,0.156,0.27,3.79634726310474e-117
"Pigk",5.63672110785722e-121,-0.792624884450036,0.319,0.414,1.69389106012217e-116
"Apbb1",7.00241974148806e-121,0.338004971090631,0.299,0.193,2.10429715651458e-116
"Atpif1",2.76642408292112e-120,0.343847300681862,0.453,0.326,8.31338101158626e-116
"Rprml",3.19476161511471e-120,0.296699555282002,0.301,0.193,9.60057812958123e-116
"Eif4g2",2.49236412393519e-119,0.330374800970415,0.378,0.258,7.48980342883764e-115
"Sparcl1",6.29619709909684e-119,0.361704524556091,0.52,0.406,1.89207019024959e-114
"Atp5h",7.41607548702714e-119,0.282232384712966,0.428,0.295,2.22860484460653e-114
"Rps26",7.59984539581638e-119,0.276398240588173,0.354,0.233,2.28382953989678e-114
"Tcf25",1.2559067633737e-118,0.347026173805192,0.562,0.451,3.77412541461431e-114
"Ndufa3",4.13473655239244e-118,0.283262265205425,0.258,0.156,1.24252968135945e-113
"Sv2b",5.14051589514305e-118,0.251616917614024,0.671,0.528,1.54477643164944e-113
"mt-Nd3",7.51110161820294e-118,0.379540401687743,0.343,0.231,2.25716114728617e-113
"Gnas",7.62461456145358e-118,0.355021398162317,0.599,0.49,2.29127292186242e-113
"Scn1b",3.22195557908375e-117,0.382091224436768,0.457,0.346,9.68229871070456e-113
"Rps23",7.68302197761087e-117,0.280071811171964,0.449,0.315,2.30882493449184e-112
"mt-Cytb",1.39656751691756e-116,0.333194480305104,0.491,0.368,4.19682504508895e-112
"Rps8",1.60840788464984e-116,0.299023126441625,0.46,0.329,4.83342653416123e-112
"Ndufc1",1.82644559550757e-116,0.282865084458929,0.323,0.208,5.48865165905979e-112
"Ndufa4",1.01624175028407e-115,0.297950588341406,0.513,0.379,3.05390808377866e-111
"Vamp2",1.45729993167904e-115,0.299722350770017,0.407,0.281,4.37933202468868e-111
"Stxbp1",2.07465040140938e-115,0.340272361031059,0.606,0.504,6.23453192127532e-111
"Ppfia2",3.30902584435245e-115,-0.558140676775074,0.61,0.669,9.94395356486354e-111
"Galnt17",4.423570052708e-115,-0.650442038032385,0.382,0.472,1.32932703653928e-110
"Rps21",4.81810861835752e-115,0.312280207916622,0.483,0.354,1.44788982090262e-110
"Dcc",5.48795980720112e-115,-0.560870355009288,0.375,0.486,1.64918680166201e-110
"Rplp2",1.52404791695638e-114,0.275468406027287,0.395,0.269,4.57991639524562e-110
"Ppp2r1a",2.84736761473069e-114,0.291530661928619,0.304,0.194,8.55662441902721e-110
"Pgm2l1",4.94173962681351e-114,0.344643682883112,0.472,0.359,1.48504217525373e-109
"Aldoc",8.9524415482494e-114,0.308005856685146,0.254,0.156,2.69029820966443e-109
"Kcnj3",1.04514453812344e-113,-0.428250120546476,0.468,0.567,3.14076385151474e-109
"Atp6v1g2",1.24352452213659e-113,0.320444801919953,0.361,0.247,3.73691554147266e-109
"Nfib",1.56360659888411e-113,-0.415168641859576,0.46,0.56,4.69879419030664e-109
"Eef1a1",3.85367662528712e-113,0.276559603209903,0.52,0.384,1.15806836266503e-108
"Ywhaz",3.95487539302502e-113,0.352848660021839,0.571,0.463,1.18847960435795e-108
"Tle5",5.1729455014354e-113,0.291607454368529,0.299,0.191,1.55452185263635e-108
"Syne1",5.72423075135756e-113,-0.408300650290194,0.585,0.67,1.72018858309046e-108
"Lingo1",3.04692947084961e-112,0.28989559289172,0.576,0.463,9.15632775285015e-108
"Mdh1",3.99600406059357e-112,0.304257301983561,0.484,0.356,1.20083918024897e-107
"Dscaml1",4.58186494348939e-112,-0.483227932926418,0.245,0.36,1.376896234168e-107
"Timm8b",4.90863729271869e-112,0.269587675831265,0.283,0.177,1.47509459283489e-107
"Nkain3",8.27646007692507e-112,-0.646300442587646,0.209,0.318,2.48715901771675e-107
"Hras",8.35196817005558e-112,0.271885239308028,0.25,0.152,2.5098499547834e-107
"Negr1",1.75798185267633e-111,-0.443897945477303,0.619,0.693,5.28291126547764e-107
"Gpx4",2.19696154705386e-111,0.259612277532099,0.337,0.221,6.60208914505155e-107
"Rps7",3.10010374980226e-111,0.269862674634122,0.38,0.257,9.31612177853077e-107
"Ran",1.06701383808854e-110,0.291131116374352,0.276,0.172,3.20648328483986e-106
"Ndufb1-ps",1.48253404856876e-110,0.281307068858608,0.354,0.238,4.45516306935398e-106
"Rpl37",1.68177886411078e-110,0.300523607118426,0.477,0.35,5.05391366453932e-106
"Nefl",1.82232349406573e-110,0.321170414549015,0.354,0.238,5.47626433201693e-106
"Atp6ap2",3.57974381423993e-110,0.331136118827224,0.416,0.309,1.07574881361724e-105
"Nrgn",4.25199381307207e-110,0.32017803132468,0.6,0.485,1.27776666076629e-105
"Satb1",8.59605261128704e-110,0.2983966721915,0.412,0.298,2.58319977021787e-105
"Sez6l",4.049841298152e-109,-0.487547794224836,0.336,0.442,1.21701780850766e-104
"Sorl1",4.13010395204714e-109,0.295787714762206,0.604,0.499,1.24113753862969e-104
"Gabrb1",8.11365256994936e-109,-0.417200168936746,0.607,0.67,2.43823373379548e-104
"Ndufa1",1.10647792496228e-108,0.286401770799048,0.272,0.171,3.32507681230414e-104
"Cmss1",1.11192140075308e-108,0.369039944258643,0.582,0.478,3.3414350014031e-104
"Dpp6",1.16395122000505e-108,-0.507109913706537,0.556,0.616,3.49778981123718e-104
"Cox6a1",2.68535827870393e-108,0.275514857735565,0.325,0.214,8.06977016333317e-104
"Atp6v1f",3.26627139919808e-108,0.271092939368946,0.28,0.176,9.81547218173014e-104
"Rpl34",3.2736820661151e-108,0.269246011183275,0.373,0.253,9.83774197688248e-104
"Dgkg",3.60640090692055e-108,-0.571486774189734,0.264,0.365,1.08375953653869e-103
"Snap91",5.55503601470711e-108,0.295418075879492,0.686,0.594,1.66934387277963e-103
"Ensa",6.11292529635762e-108,0.370411849374481,0.376,0.272,1.83699518080843e-103
"Timp2",2.96931204379699e-107,0.34786006200101,0.333,0.231,8.92307962281432e-103
"Prdx2",3.31293686346196e-107,0.265823086831394,0.298,0.191,9.95570656838953e-103
"Gabrb3",3.42543451899741e-107,-0.367906470762418,0.662,0.7,1.02937732730391e-102
"Eif1",3.5706200773711e-107,0.255251153200889,0.447,0.315,1.07300703945079e-102
"Snca",7.09138673662364e-107,0.326485998512561,0.648,0.557,2.13103262822277e-102
"Tcf4",1.4338443444005e-106,-0.301454724694158,0.779,0.801,4.30884563935794e-102
"Dnm1",2.57240179598269e-106,0.310393473507218,0.614,0.515,7.73032463710759e-102
"Oaz1",9.78366541350842e-106,0.267605840319258,0.366,0.249,2.94008929341342e-101
"Uqcc2",2.23108205466994e-105,0.260278229842486,0.265,0.165,6.70462468248863e-101
"Rps15",6.21761452972788e-105,0.289820278389631,0.399,0.279,1.86845534232853e-100
"Arnt2",1.04651265566973e-104,0.306988364346208,0.471,0.367,3.1448751815531e-100
"Rpl37a",1.43301275701204e-104,0.269749625174157,0.451,0.326,4.30634663609688e-100
"Gpi1",3.63796538596632e-104,0.36312854408051,0.404,0.302,1.09324497813674e-99
"Tmem108",3.78964320409729e-104,-0.625245033159057,0.236,0.339,1.13882567926328e-99
"Atp6v1c1",8.91913180991226e-104,0.304721607532545,0.326,0.222,2.68028830019673e-99
"Rpl23a",9.78940137010268e-104,0.268513355301306,0.31,0.202,2.94181300572956e-99
"Nme7",2.58235940783671e-103,0.302529792020912,0.679,0.585,7.76024825649011e-99
"Eif5",3.42119731922531e-103,0.290657277137629,0.306,0.204,1.0281040064004e-98
"Ncl",5.46134109301823e-103,0.324655512122689,0.358,0.248,1.64118761186291e-98
"Grin2b",2.01661524152185e-102,-0.286016775657248,0.825,0.829,6.06013046229733e-98
"Bex3",3.33515880999266e-102,0.258870406943333,0.31,0.203,1.0022485739909e-97
"Galnt18",5.7400047451176e-102,-0.447268374725333,0.285,0.393,1.72492882595529e-97
"Uqcrq",1.11526087787955e-101,0.258714446041839,0.374,0.256,3.35147046411583e-97
"Cacna1e",1.4271541877772e-101,-0.406859877801808,0.567,0.632,4.28874104968928e-97
"Serf2",1.57771614090472e-101,0.276540312057966,0.294,0.191,4.74119477503279e-97
"Gde1",2.25887058675311e-101,0.326483495452997,0.412,0.308,6.78813200025177e-97
"Pafah1b1",3.48759772585289e-101,0.254892713577023,0.741,0.651,1.04805799259605e-96
"Cadps2",5.4087038943882e-101,-0.467238565315081,0.183,0.291,1.6253696073026e-96
"Rasgrp1",6.94978026312177e-101,0.324006774622909,0.526,0.424,2.08847846687072e-96
"Cox7b",9.18141267246284e-101,0.252219427263927,0.447,0.324,2.75910632220181e-96
"Dnaja1",1.41558623287095e-99,0.331665377568923,0.442,0.33,4.25397818840051e-95
"Arf1",1.88090563782295e-99,0.267420772221001,0.346,0.236,5.65230953222176e-95
"Stx1b",3.4207968430969e-99,0.31414864455698,0.3,0.203,1.02798365931905e-94
"Psap",6.00897476028087e-99,0.32870240745146,0.599,0.511,1.805757005212e-94
"Gm42439",7.86230838500515e-99,-0.417512853053514,0.157,0.259,2.3627022927779e-94
"Ptprf",2.34334794805728e-98,0.330405491076936,0.275,0.187,7.04199491870694e-94
"Ywhae",2.44290727095535e-98,0.3033493922301,0.535,0.423,7.34118063994791e-94
"Ssbp3",8.30316522128558e-98,0.339881275461662,0.429,0.333,2.49518418064853e-93
"Tmem132a",1.15739976392974e-97,0.255144025612166,0.437,0.329,3.47810203058526e-93
"Cpne6",1.97335238381347e-97,-0.438274989228786,0.17,0.274,5.93012124859786e-93
"Purb",9.98052251703689e-97,0.268960881098924,0.346,0.239,2.99924682159475e-92
"Fhl2",1.31006645946347e-96,0.283356495953017,0.266,0.179,3.93688071733369e-92
"Rpl13",1.82744160186503e-96,0.253198502110521,0.449,0.329,5.49164475776459e-92
"Igsf9b",2.65231792801729e-96,0.315924345122734,0.408,0.31,7.97048060548475e-92
"Rpl23",2.82737374346563e-96,0.250802514432842,0.429,0.308,8.49654083648856e-92
"Snap47",3.70822549998672e-96,0.345542037964006,0.345,0.247,1.11435884500101e-91
"Bcl11b",4.72130749496341e-96,-0.384104649769908,0.225,0.335,1.41880011531145e-91
"Stxbp6",5.07530880544538e-96,-0.692793765254856,0.191,0.285,1.52518104912439e-91
"Ube2e2",1.88099407391612e-95,-0.351773908808058,0.564,0.638,5.65257529152532e-91
"Olfm2",2.31100647200713e-95,0.275803715650846,0.318,0.223,6.94480554902863e-91
"Trerf1",3.79438397320661e-95,-0.356911042847106,0.265,0.375,1.14025032778832e-90
"Tubb4a",4.10162907950368e-95,0.256328052476663,0.331,0.228,1.23258055468165e-90
"Rab3a",5.23077886715119e-95,0.254132346159782,0.417,0.299,1.5719013573676e-90
"Rab15",7.83378506987778e-95,0.297159915603733,0.252,0.167,2.35413075134897e-90
"Nbea",1.94144794653866e-94,-0.283171974308732,0.69,0.742,5.83424522414332e-90
"Gm20754",2.50169472600134e-94,-0.450933114756109,0.272,0.376,7.51784282110664e-90
"Rpsa",2.92515667134834e-94,0.265388514698404,0.352,0.243,8.7903883130689e-90
"Pip5k1b",3.7313968958495e-94,-0.462601500482457,0.161,0.259,1.12132208117173e-89
"Rpl39",8.88463141433976e-94,0.267056790968543,0.33,0.225,2.66992058632324e-89
"Pde10a",5.07863444629451e-93,-0.396301859023032,0.387,0.492,1.52618043745596e-88
"Cadm4",9.36380384951986e-93,0.25222361767052,0.259,0.171,2.81391669481921e-88
"Got2",2.29326070085514e-92,0.310447871182725,0.301,0.208,6.89147773213978e-88
"Rab6a",2.46108883107801e-92,0.252409886925261,0.482,0.372,7.39581804627253e-88
"Lrrc7",3.70476266988791e-92,-0.33631271063692,0.619,0.681,1.11331822992802e-87
"Cobl",4.00872173313545e-92,0.295859031449419,0.42,0.317,1.20466096802453e-87
"Unc5c",6.44390274713878e-92,-0.468640042472587,0.383,0.482,1.93645721454267e-87
"Tanc1",6.82594708097606e-92,-0.530339671607306,0.188,0.283,2.05126535730412e-87
"Pde2a",7.29070164044339e-92,0.304928061958323,0.458,0.362,2.19092874996964e-87
"Tafa2",1.69834688501428e-91,-0.559789536354363,0.32,0.414,5.10370222415643e-87
